region,offset_dec,offset_hex,size,field,status,encoding,meaning,evidence,notes
FILE_HEADER,0,0x0000,1,magic,VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,1,0x0001,1,magic [byte 2/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,2,0x0002,1,magic [byte 3/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,3,0x0003,1,magic [byte 4/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,4,0x0004,1,magic [byte 5/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,5,0x0005,1,magic [byte 6/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,6,0x0006,1,magic [byte 7/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,7,0x0007,1,magic [byte 8/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,8,0x0008,1,magic [byte 9/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,9,0x0009,1,magic [byte 10/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,10,0x000A,1,magic [byte 11/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,11,0x000B,1,magic [byte 12/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,12,0x000C,1,magic [byte 13/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,13,0x000D,1,magic [byte 14/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,14,0x000E,1,magic [byte 15/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,15,0x000F,1,magic [byte 16/16],VERIFIED,ASCII/NUL,YAMAHA-YSFC + NUL padding,★★★★★,
FILE_HEADER,16,0x0010,1,version,VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,17,0x0011,1,version [byte 2/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,18,0x0012,1,version [byte 3/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
