source_model,source_waveform_id,source_waveform_name,target_model,target_waveform_id,target_waveform_name,confidence,match_method,auto_apply,candidates,source_catalog,source_basis
MONTAGE,1,CF3 Stretch Sw St,MODX M,27,CF3 Stretch Sw St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,81,S6 Stretch Sw Mn,MODX M,107,S6 Stretch Sw Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,161,Upright Piano Sw,MODX M,208,Upright Piano Sw,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,241,Wr1 Med+,MODX M,380,Wr1 Med+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,2,CF3 Stretch Sw Mn,MODX M,28,CF3 Stretch Sw Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,82,S6 Stretch Sw L,MODX M,108,S6 Stretch Sw L,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,162,Upright Piano mp,MODX M,209,Upright Piano mp,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,242,Wr1 Med-,MODX M,381,Wr1 Med-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,3,CF3 Stretch Soft St,MODX M,29,CF3 Stretch Soft St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,83,S6 Stretch Sw R,MODX M,109,S6 Stretch Sw R,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,163,Upright Piano f,MODX M,210,Upright Piano f,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,243,Wr1 Hard,MODX M,382,Wr1 Hard,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,4,CF3 Stretch Soft Mn,MODX M,30,CF3 Stretch Soft Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,84,S6 Stretch Sw St Pan,MODX M,110,S6 Stretch Sw St Pan,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,164,Upright Piano ff,MODX M,211,Upright Piano ff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,244,Wr1 Hard+,MODX M,383,Wr1 Hard+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,5,CF3 Stretch Soft St+,MODX M,31,CF3 Stretch Soft St+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,85,S6 Stretch Sw St2,MODX M,111,S6 Stretch Sw St2,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,165,Upright Piano KeyOff,MODX M,212,Upright Piano KeyOff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,245,Wr1 Hard-,MODX M,384,Wr1 Hard-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,6,CF3 Stretch Soft Mn+,MODX M,32,CF3 Stretch Soft Mn+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,86,S6 Stretch Sw St+,MODX M,112,S6 Stretch Sw St+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,166,EP1 Sw,MODX M,281,EP1 Sw,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,246,Wr1 Key Off,MODX M,385,Wr1 KeyOff,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
